1605899
164, 164
(0, 123), (10000, 123)
(0, 123), (0, 9728)
(10000, 123), (10000, 195)
(0.5, 195), (10000, 195)
(0.5, 195), (0.5, 197)
(0.5, 197), (10000, 197)
(10000, 197), (10000, 201)
(0.5, 201), (10000, 201)
(0.5, 201), (0.5, 404)
(0.5, 404), (10000, 404)
(10000, 404), (10000, 407)
(0.5, 407), (10000, 407)
(0.5, 407), (0.5, 454)
(0.5, 454), (10000, 454)
(10000, 454), (10000, 470)
(0.5, 470), (10000, 470)
(0.5, 470), (0.5, 514)
(0.5, 514), (10000, 514)
(10000, 514), (10000, 529)
(0.5, 529), (10000, 529)
(0.5, 529), (0.5, 563)
(0.5, 563), (10000, 563)
(10000, 563), (10000, 575)
(0.5, 575), (10000, 575)
(0.5, 575), (0.5, 641)
(0.5, 641), (10000, 641)
(10000, 641), (10000, 654)
(0.5, 654), (10000, 654)
(0.5, 654), (0.5, 705)
(0.5, 705), (10000, 705)
(10000, 705), (10000, 705.5)
(0.5, 705.5), (10000, 705.5)
(0.5, 705.5), (0.5, 1257)
(0.5, 1257), (10000, 1257)
(10000, 1257), (10000, 1270)
(0.5, 1270), (10000, 1270)
(0.5, 1270), (0.5, 1499)
(0.5, 1499), (10000, 1499)
(10000, 1499), (10000, 1518)
(0.5, 1518), (10000, 1518)
(0.5, 1518), (0.5, 1544)
(0.5, 1544), (10000, 1544)
(10000, 1544), (10000, 1568)
(0.5, 1568), (10000, 1568)
(0.5, 1568), (0.5, 2181)
(0.5, 2181), (10000, 2181)
(10000, 2181), (10000, 2189)
(0.5, 2189), (10000, 2189)
(0.5, 2189), (0.5, 2530)
(0.5, 2530), (10000, 2530)
(10000, 2530), (10000, 2537)
(0.5, 2537), (10000, 2537)
(0.5, 2537), (0.5, 2564)
(0.5, 2564), (10000, 2564)
(10000, 2564), (10000, 2590)
(0.5, 2590), (10000, 2590)
(0.5, 2590), (0.5, 2607)
(0.5, 2607), (10000, 2607)
(10000, 2607), (10000, 2629)
(0.5, 2629), (10000, 2629)
(0.5, 2629), (0.5, 2631)
(0.5, 2631), (10000, 2631)
(10000, 2631), (10000, 2644)
(0.5, 2644), (10000, 2644)
(0.5, 2644), (0.5, 3003)
(0.5, 3003), (10000, 3003)
(10000, 3003), (10000, 3043)
(0.5, 3043), (10000, 3043)
(0.5, 3043), (0.5, 3902)
(0.5, 3902), (10000, 3902)
(10000, 3902), (10000, 3955)
(0.5, 3955), (10000, 3955)
(0.5, 3955), (0.5, 3977)
(0.5, 3977), (10000, 3977)
(10000, 3977), (10000, 3985)
(0.5, 3985), (10000, 3985)
(0.5, 3985), (0.5, 4373)
(0.5, 4373), (10000, 4373)
(10000, 4373), (10000, 4395)
(0.5, 4395), (10000, 4395)
(0.5, 4395), (0.5, 4580)
(0.5, 4580), (10000, 4580)
(10000, 4580), (10000, 4602)
(0.5, 4602), (10000, 4602)
(0.5, 4602), (0.5, 5408)
(0.5, 5408), (10000, 5408)
(10000, 5408), (10000, 5438)
(0.5, 5438), (10000, 5438)
(0.5, 5438), (0.5, 5440)
(0.5, 5440), (10000, 5440)
(10000, 5440), (10000, 5449)
(0.5, 5449), (10000, 5449)
(0.5, 5449), (0.5, 5531)
(0.5, 5531), (10000, 5531)
(10000, 5531), (10000, 5557)
(0.5, 5557), (10000, 5557)
(0.5, 5557), (0.5, 5958)
(0.5, 5958), (10000, 5958)
(10000, 5958), (10000, 5962)
(0.5, 5962), (10000, 5962)
(0.5, 5962), (0.5, 6429)
(0.5, 6429), (10000, 6429)
(10000, 6429), (10000, 6450)
(0.5, 6450), (10000, 6450)
(0.5, 6450), (0.5, 6958)
(0.5, 6958), (10000, 6958)
(10000, 6958), (10000, 6963)
(0.5, 6963), (10000, 6963)
(0.5, 6963), (0.5, 7056)
(0.5, 7056), (10000, 7056)
(10000, 7056), (10000, 7065)
(0.5, 7065), (10000, 7065)
(0.5, 7065), (0.5, 7135)
(0.5, 7135), (10000, 7135)
(10000, 7135), (10000, 7174)
(0.5, 7174), (10000, 7174)
(0.5, 7174), (0.5, 7478)
(0.5, 7478), (10000, 7478)
(10000, 7478), (10000, 7481)
(0.5, 7481), (10000, 7481)
(0.5, 7481), (0.5, 7483)
(0.5, 7483), (10000, 7483)
(10000, 7483), (10000, 7483.5)
(0.5, 7483.5), (10000, 7483.5)
(0.5, 7483.5), (0.5, 7767)
(0.5, 7767), (10000, 7767)
(10000, 7767), (10000, 7786)
(0.5, 7786), (10000, 7786)
(0.5, 7786), (0.5, 7961)
(0.5, 7961), (10000, 7961)
(10000, 7961), (10000, 7979)
(0.5, 7979), (10000, 7979)
(0.5, 7979), (0.5, 8016)
(0.5, 8016), (10000, 8016)
(10000, 8016), (10000, 8034)
(0.5, 8034), (10000, 8034)
(0.5, 8034), (0.5, 8202)
(0.5, 8202), (10000, 8202)
(10000, 8202), (10000, 8257)
(0.5, 8257), (10000, 8257)
(0.5, 8257), (0.5, 8259)
(0.5, 8259), (10000, 8259)
(10000, 8259), (10000, 8261)
(0.5, 8261), (10000, 8261)
(0.5, 8261), (0.5, 8340)
(0.5, 8340), (10000, 8340)
(10000, 8340), (10000, 8370)
(0.5, 8370), (10000, 8370)
(0.5, 8370), (0.5, 8946)
(0.5, 8946), (10000, 8946)
(10000, 8946), (10000, 8949)
(0.5, 8949), (10000, 8949)
(0.5, 8949), (0.5, 8951)
(0.5, 8951), (10000, 8951)
(10000, 8951), (10000, 8991)
(0.5, 8991), (10000, 8991)
(0.5, 8991), (0.5, 9698)
(0.5, 9698), (10000, 9698)
(10000, 9698), (10000, 9704)
(0.5, 9704), (10000, 9704)
(0.5, 9704), (0.5, 9706)
(0.5, 9706), (10000, 9706)
(10000, 9706), (10000, 9728)
(0, 9728), (10000, 9728)
